decision_id,evaluation_year,policy,candidate,hourly_review_cost,review_cost,avoidable_fraction,fn_cost,training_fraud_positive_exposure_mean,capacity_per_10000,cost_method,threshold,validation_tp,validation_fp,validation_fn,validation_tn,validation_rows,validation_alerts,validation_recall,validation_precision,validation_f1,validation_alerts_per_10000,validation_fn_positive_exposure,validation_cost,is_base,evaluation_tp,evaluation_fp,evaluation_fn,evaluation_tn,evaluation_rows,evaluation_alerts,evaluation_recall,evaluation_precision,evaluation_f1,evaluation_alerts_per_10000,evaluation_fp_per_10000,evaluation_review_hours_per_10000,evaluation_review_hours_total,evaluation_cost,evaluation_no_alert_cost,evaluation_saving_vs_no_alert,evaluation_saving_fraction,evaluation_capacity_exceeded,evaluation_more_costly_than_no_alert,evaluation_fn_positive_exposure
D00001,2015,cost_sensitivity,rf_profundo,15,1.5,0.25,31.41896799116998,125.67587196467991,10,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,36732.246727373065,5969.603918322296,-30762.64280905077,-5.153213383995556,True,True,8331.5
D00002,2015,cost_sensitivity,rf_profundo,15,1.5,0.25,31.41896799116998,125.67587196467991,25,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,36732.246727373065,5969.603918322296,-30762.64280905077,-5.153213383995556,True,True,8331.5
D00003,2015,cost_sensitivity,rf_profundo,15,1.5,0.25,31.41896799116998,125.67587196467991,50,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,36732.246727373065,5969.603918322296,-30762.64280905077,-5.153213383995556,True,True,8331.5
D00004,2015,cost_sensitivity,rf_profundo,15,1.5,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,36732.246727373065,5969.603918322296,-30762.64280905077,-5.153213383995556,True,True,8331.5
D00005,2015,cost_sensitivity,rf_profundo,15,1.5,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,685.5414238410597,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,36732.246727373065,5969.603918322296,-30762.64280905077,-5.153213383995556,True,True,8331.5
D00006,2015,cost_sensitivity,rf_profundo,15,1.5,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,38962.99345474614,11939.207836644591,-27023.785618101545,-2.2634487972609363,True,True,8331.5
D00007,2015,cost_sensitivity,rf_profundo,15,1.5,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,38962.99345474614,11939.207836644591,-27023.785618101545,-2.2634487972609363,True,True,8331.5
D00008,2015,cost_sensitivity,rf_profundo,15,1.5,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,38962.99345474614,11939.207836644591,-27023.785618101545,-2.2634487972609363,True,True,8331.5
D00009,2015,cost_sensitivity,rf_profundo,15,1.5,0.5,62.83793598233996,125.67587196467991,100,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,38962.99345474614,11939.207836644591,-27023.785618101545,-2.2634487972609363,True,True,8331.5
D00010,2015,cost_sensitivity,rf_profundo,15,1.5,0.5,62.83793598233996,125.67587196467991,250,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1251.0828476821193,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,38962.99345474614,11939.207836644591,-27023.785618101545,-2.2634487972609363,True,True,8331.5
D00011,2015,cost_sensitivity,rf_profundo,15,1.5,1.0,125.67587196467991,125.67587196467991,10,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,2382.1656953642387,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,43424.486909492276,23878.415673289182,-19546.071236203094,-0.8185665038936262,True,True,8331.5
D00012,2015,cost_sensitivity,rf_profundo,15,1.5,1.0,125.67587196467991,125.67587196467991,25,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,2382.1656953642387,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,43424.486909492276,23878.415673289182,-19546.071236203094,-0.8185665038936262,True,True,8331.5
D00013,2015,cost_sensitivity,r1_sin_balanceo,15,1.5,1.0,125.67587196467991,125.67587196467991,50,fixed_training_mean,0.016519726771066157,40.0,371.0,13.0,86239.0,86663.0,411.0,0.7547169811320755,0.09732360097323602,0.1724137931034483,47.425083368911764,1148.7699999999977,2250.286335540839,False,126,24658,64,63222,88070,24784,0.6631578947368421,0.005083925112976113,0.010090494113878433,2814.1251277392985,2799.818326331327,281.41251277392985,2478.4,45219.255805739514,23878.415673289182,-21340.840132450332,-0.8937293170720104,True,True,6763.06
D00014,2015,cost_sensitivity,rf_profundo,15,1.5,1.0,125.67587196467991,125.67587196467991,100,fixed_training_mean,0.03,41.0,452.0,12.0,86158.0,86663.0,493.0,0.7735849056603774,0.08316430020283976,0.15018315018315018,56.88702214324452,956.5099999999984,2247.610463576159,False,136,25350,54,62530,88070,25486,0.7157894736842105,0.005336263046378404,0.01059355039725814,2893.834449869422,2878.392188032247,289.38344498694215,2548.6,45015.49708609271,23878.415673289182,-21137.08141280353,-0.8851961412351089,True,True,5031.900000000001
D00015,2015,cost_sensitivity,rf_profundo,15,1.5,1.0,125.67587196467991,125.67587196467991,250,fixed_training_mean,0.03,41.0,452.0,12.0,86158.0,86663.0,493.0,0.7735849056603774,0.08316430020283976,0.15018315018315018,56.88702214324452,956.5099999999984,2247.610463576159,False,136,25350,54,62530,88070,25486,0.7157894736842105,0.005336263046378404,0.01059355039725814,2893.834449869422,2878.392188032247,289.38344498694215,2548.6,45015.49708609271,23878.415673289182,-21137.08141280353,-0.8851961412351089,True,True,5031.900000000001
D00016,2015,cost_sensitivity,rf_profundo,30,3.0,0.25,31.41896799116998,125.67587196467991,10,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,794.7983278145696,False,107,18278,83,69602,88070,18385,0.5631578947368421,0.005819961925482731,0.011520861372812921,2087.5439990916316,2075.3945724991486,208.75439990916317,1838.5,57762.774343267105,5969.603918322296,-51793.17042494481,-8.676148557524536,True,True,13741.63
D00017,2015,cost_sensitivity,rf_profundo,30,3.0,0.25,31.41896799116998,125.67587196467991,25,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,794.7983278145696,False,107,18278,83,69602,88070,18385,0.5631578947368421,0.005819961925482731,0.011520861372812921,2087.5439990916316,2075.3945724991486,208.75439990916317,1838.5,57762.774343267105,5969.603918322296,-51793.17042494481,-8.676148557524536,True,True,13741.63
D00018,2015,cost_sensitivity,rf_profundo,30,3.0,0.25,31.41896799116998,125.67587196467991,50,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,794.7983278145696,False,107,18278,83,69602,88070,18385,0.5631578947368421,0.005819961925482731,0.011520861372812921,2087.5439990916316,2075.3945724991486,208.75439990916317,1838.5,57762.774343267105,5969.603918322296,-51793.17042494481,-8.676148557524536,True,True,13741.63
D00019,2015,cost_sensitivity,rf_profundo,30,3.0,0.25,31.41896799116998,125.67587196467991,100,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,794.7983278145696,False,107,18278,83,69602,88070,18385,0.5631578947368421,0.005819961925482731,0.011520861372812921,2087.5439990916316,2075.3945724991486,208.75439990916317,1838.5,57762.774343267105,5969.603918322296,-51793.17042494481,-8.676148557524536,True,True,13741.63
D00020,2015,cost_sensitivity,rf_profundo,30,3.0,0.25,31.41896799116998,125.67587196467991,250,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,794.7983278145696,False,107,18278,83,69602,88070,18385,0.5631578947368421,0.005819961925482731,0.011520861372812921,2087.5439990916316,2075.3945724991486,208.75439990916317,1838.5,57762.774343267105,5969.603918322296,-51793.17042494481,-8.676148557524536,True,True,13741.63
D00021,2015,cost_sensitivity,rf_profundo,30,3.0,0.5,62.83793598233996,125.67587196467991,10,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1371.0828476821193,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,73464.49345474613,11939.207836644591,-61525.28561810154,-5.153213383995556,True,True,8331.5
D00022,2015,cost_sensitivity,rf_profundo,30,3.0,0.5,62.83793598233996,125.67587196467991,25,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1371.0828476821193,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,73464.49345474613,11939.207836644591,-61525.28561810154,-5.153213383995556,True,True,8331.5
D00023,2015,cost_sensitivity,rf_profundo,30,3.0,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1371.0828476821193,True,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,73464.49345474613,11939.207836644591,-61525.28561810154,-5.153213383995556,True,True,8331.5
D00024,2015,cost_sensitivity,rf_profundo,30,3.0,0.5,62.83793598233996,125.67587196467991,100,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1371.0828476821193,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,73464.49345474613,11939.207836644591,-61525.28561810154,-5.153213383995556,True,True,8331.5
D00025,2015,cost_sensitivity,rf_profundo,30,3.0,0.5,62.83793598233996,125.67587196467991,250,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1371.0828476821193,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,73464.49345474613,11939.207836644591,-61525.28561810154,-5.153213383995556,True,True,8331.5
D00026,2015,cost_sensitivity,rf_profundo,30,3.0,1.0,125.67587196467991,125.67587196467991,10,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,2502.1656953642387,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,77925.98690949228,23878.415673289182,-54047.57123620309,-2.2634487972609363,True,True,8331.5
D00027,2015,cost_sensitivity,rf_profundo,30,3.0,1.0,125.67587196467991,125.67587196467991,25,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,2502.1656953642387,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,77925.98690949228,23878.415673289182,-54047.57123620309,-2.2634487972609363,True,True,8331.5
D00028,2015,cost_sensitivity,rf_profundo,30,3.0,1.0,125.67587196467991,125.67587196467991,50,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,2502.1656953642387,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,77925.98690949228,23878.415673289182,-54047.57123620309,-2.2634487972609363,True,True,8331.5
D00029,2015,cost_sensitivity,rf_profundo,30,3.0,1.0,125.67587196467991,125.67587196467991,100,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,2502.1656953642387,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,77925.98690949228,23878.415673289182,-54047.57123620309,-2.2634487972609363,True,True,8331.5
D00030,2015,cost_sensitivity,rf_profundo,30,3.0,1.0,125.67587196467991,125.67587196467991,250,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,2502.1656953642387,False,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,77925.98690949228,23878.415673289182,-54047.57123620309,-2.2634487972609363,True,True,8331.5
D00031,2015,cost_sensitivity,rf_profundo,60,6.0,0.25,31.41896799116998,125.67587196467991,10,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,929.7983278145696,False,107,18278,83,69602,88070,18385,0.5631578947368421,0.005819961925482731,0.011520861372812921,2087.5439990916316,2075.3945724991486,208.75439990916317,1838.5,112917.77434326711,5969.603918322296,-106948.17042494482,-17.91545500978592,True,True,13741.63
D00032,2015,cost_sensitivity,rf_profundo,60,6.0,0.25,31.41896799116998,125.67587196467991,25,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,929.7983278145696,False,107,18278,83,69602,88070,18385,0.5631578947368421,0.005819961925482731,0.011520861372812921,2087.5439990916316,2075.3945724991486,208.75439990916317,1838.5,112917.77434326711,5969.603918322296,-106948.17042494482,-17.91545500978592,True,True,13741.63
D00033,2015,cost_sensitivity,rf_profundo,60,6.0,0.25,31.41896799116998,125.67587196467991,50,fixed_training_mean,0.185,32.0,13.0,21.0,86597.0,86663.0,45.0,0.6037735849056604,0.7111111111111111,0.6530612244897959,5.192527376158222,1784.619999999999,929.7983278145696,False,107,18278,83,69602,88070,18385,0.5631578947368421,0.005819961925482731,0.011520861372812921,2087.5439990916316,2075.3945724991486,208.75439990916317,1838.5,112917.77434326711,5969.603918322296,-106948.17042494482,-17.91545500978592,True,True,13741.63
