decision_id,evaluation_year,policy,candidate,hourly_review_cost,review_cost,avoidable_fraction,fn_cost,training_fraud_positive_exposure_mean,capacity_per_10000,cost_method,threshold,validation_tp,validation_fp,validation_fn,validation_tn,validation_rows,validation_alerts,validation_recall,validation_precision,validation_f1,validation_alerts_per_10000,validation_fn_positive_exposure,validation_cost,is_base,evaluation_tp,evaluation_fp,evaluation_fn,evaluation_tn,evaluation_rows,evaluation_alerts,evaluation_recall,evaluation_precision,evaluation_f1,evaluation_alerts_per_10000,evaluation_fp_per_10000,evaluation_review_hours_per_10000,evaluation_review_hours_total,evaluation_cost,evaluation_no_alert_cost,evaluation_saving_vs_no_alert,evaluation_saving_fraction,evaluation_capacity_exceeded,evaluation_more_costly_than_no_alert,evaluation_fn_positive_exposure
D00046,2015,base_min_cost_capacity,rf_profundo,30,3.0,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,0.1,35.0,45.0,18.0,86565.0,86663.0,80.0,0.660377358490566,0.4375,0.5263157894736842,9.231159779836839,1574.3399999999988,1371.0828476821193,,119,22882,71,64998,88070,23001,0.6263157894736842,0.005173688100517369,0.010262601871415635,2611.6725332122173,2598.1605541046893,261.1672533212217,2300.1,73464.49345474613,11939.207836644591,-61525.28561810154,-5.153213383995556,True,True,8331.5
D00048,2015,f1_pool_reference,rf_profundo,30,3.0,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,0.325,28.0,1.0,25.0,86609.0,86663.0,29.0,0.5283018867924528,0.9655172413793104,0.6829268292682927,3.346295420190854,2383.039999999999,1657.948399558499,,91,12594,99,75286,88070,12685,0.4789473684210526,0.007173827355143871,0.014135922330097087,1440.3315544453276,1429.9988645395708,144.03315544453278,1268.5,44275.955662251654,11939.207836644591,-32336.74782560706,-2.7084500301901953,True,True,18487.829999999998
D00049,2015,f1_same_model_reference,rf_profundo,30,3.0,0.5,62.83793598233996,125.67587196467991,50,fixed_training_mean,0.325,28.0,1.0,25.0,86609.0,86663.0,29.0,0.5283018867924528,0.9655172413793104,0.6829268292682927,3.346295420190854,2383.039999999999,1657.948399558499,,91,12594,99,75286,88070,12685,0.4789473684210526,0.007173827355143871,0.014135922330097087,1440.3315544453276,1429.9988645395708,144.03315544453278,1268.5,44275.955662251654,11939.207836644591,-32336.74782560706,-2.7084500301901953,True,True,18487.829999999998
D00121,2016,base_min_cost_capacity,rf_variables_revisadas,30,3.0,0.5,62.46345470692718,124.92690941385436,50,fixed_training_mean,0.017444595171504994,93.0,123.0,40.0,44163.0,44419.0,216.0,0.6992481203007519,0.4305555555555556,0.5329512893982808,48.6278394380783,4294.710000000005,3146.538188277087,,155,231,71,87328,87785,386,0.6858407079646017,0.4015544041450777,0.5065359477124183,43.971065671811814,26.314290596343337,4.397106567181182,38.6,5592.90528419183,14116.740763765543,8523.835479573714,0.6038104419578532,False,False,7045.389999999999
D00123,2016,f1_pool_reference,rf_profundo,30,3.0,0.5,62.46345470692718,124.92690941385436,50,fixed_training_mean,0.24,78.0,3.0,55.0,44283.0,44419.0,81.0,0.5864661654135338,0.9629629629629629,0.7289719626168224,18.23543978927936,6614.900000000005,3678.490008880995,,117,16,109,87543,87785,133,0.5176991150442478,0.8796992481203008,0.6518105849582173,15.150652161531013,1.8226348464999715,1.5150652161531013,13.3,7207.516563055063,14116.740763765543,6909.2242007104805,0.4894348005911453,False,False,13206.61
D00124,2016,f1_same_model_reference,rf_variables_revisadas,30,3.0,0.5,62.46345470692718,124.92690941385436,50,fixed_training_mean,0.06426266520673769,80.0,14.0,53.0,44272.0,44419.0,94.0,0.6015037593984962,0.851063829787234,0.7048458149779736,21.162115311015555,6291.990000000003,3592.5630994671405,,124,39,102,87520,87785,163,0.5486725663716814,0.7607361963190185,0.6375321336760925,18.56809249871846,4.44267243834368,1.8568092498718463,16.3,6860.272380106572,14116.740763765543,7256.468383658971,0.5140328426434431,False,False,12358.79
D00196,2019,base_min_cost_capacity,rf_actualizado,30,3.0,0.5,64.35695738354806,128.71391476709613,50,fixed_training_mean,0.02046171411871807,14.0,93.0,55.0,44194.0,44356.0,107.0,0.2028985507246377,0.1308411214953271,0.1590909090909091,24.123004779511227,3780.2000000000003,3860.6326560951434,,12,160,111,73165,73448,172,0.0975609756097561,0.06976744186046512,0.08135593220338982,23.41792833024725,21.784119376974186,2.341792833024725,17.2,7659.622269573835,7915.905758176412,256.28348860257665,0.03237576298048509,False,False,10279.560000000001
D00198,2019,f1_pool_reference,rf_variables_revisadas,30,3.0,0.5,64.35695738354806,128.71391476709613,50,fixed_training_mean,0.04583877685873359,9.0,21.0,60.0,44266.0,44356.0,30.0,0.13043478260869565,0.3,0.18181818181818182,6.76345928397511,4496.58,3951.4174430128837,,4,37,119,73288,73448,41,0.032520325203252036,0.0975609756097561,0.04878048780487805,5.582180590349635,5.03757760592528,0.5582180590349635,4.1,7781.47792864222,7915.905758176412,134.42782953419191,0.016981989634646696,False,False,11323.84
D00199,2019,f1_same_model_reference,rf_actualizado,30,3.0,0.5,64.35695738354806,128.71391476709613,50,fixed_training_mean,0.02255511223091145,13.0,75.0,56.0,44212.0,44356.0,88.0,0.18840579710144928,0.14772727272727273,0.16560509554140126,19.83948056632699,3780.2000000000003,3867.9896134786914,,11,131,112,73194,73448,142,0.08943089430894309,0.07746478873239436,0.0830188679245283,19.33340594706459,17.835747739897613,1.933340594706459,14.2,7633.979226957383,7915.905758176412,281.92653121902913,0.03561519551035895,False,False,10368.86
