strategy,policy,cost_fn,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,cost,cost_per_10000
pesos_clase,costo,5,86,149,453,248615,249303,0.3659574468085106,0.15955473098330242,0.2222222222222222,235,9.426280469950221,5.976662936266311,2414,96.82996193387163
pesos_clase,costo,10,131,319,408,248445,249303,0.2911111111111111,0.24304267161410018,0.2649140546006067,450,18.050324304159997,12.795674340060087,4399,176.45194803111073
pesos_clase,costo,25,264,1161,275,247603,249303,0.18526315789473685,0.4897959183673469,0.26883910386965376,1425,57.15936029650666,46.56983670473279,8036,322.33868024051054
pesos_clase,costo,50,284,1931,255,246833,249303,0.12821670428893905,0.5269016697588126,0.20624546114742193,2215,88.84770740825421,77.4559471807399,14681,588.8818024652732
pesos_clase,costo,100,284,1931,255,246833,249303,0.12821670428893905,0.5269016697588126,0.20624546114742193,2215,88.84770740825421,77.4559471807399,27431,1100.3076577498064
pesos_clase,f1_validacion,5,118,275,421,248489,249303,0.30025445292620867,0.2189239332096475,0.2532188841201717,393,15.763949892299731,11.03075374143111,2380,95.46615965311288
pesos_clase,f1_validacion,10,118,275,421,248489,249303,0.30025445292620867,0.2189239332096475,0.2532188841201717,393,15.763949892299731,11.03075374143111,4485,179.90156556479465
pesos_clase,f1_validacion,25,118,275,421,248489,249303,0.30025445292620867,0.2189239332096475,0.2532188841201717,393,15.763949892299731,11.03075374143111,10800,433.20778329983995
pesos_clase,f1_validacion,50,118,275,421,248489,249303,0.30025445292620867,0.2189239332096475,0.2532188841201717,393,15.763949892299731,11.03075374143111,21325,855.3848128582488
pesos_clase,f1_validacion,100,118,275,421,248489,249303,0.30025445292620867,0.2189239332096475,0.2532188841201717,393,15.763949892299731,11.03075374143111,42375,1699.7388719750666
pesos_clase,referencia_007217143,5,466,173429,73,75335,249303,0.0026797780269702982,0.8645640074211502,0.0053429950583028536,173895,6975.246988604228,6956.554874991476,173794,6971.19569359374
pesos_clase,referencia_007217143,10,466,173429,73,75335,249303,0.0026797780269702982,0.8645640074211502,0.0053429950583028536,173895,6975.246988604228,6956.554874991476,174159,6985.836512196002
pesos_clase,referencia_007217143,25,466,173429,73,75335,249303,0.0026797780269702982,0.8645640074211502,0.0053429950583028536,173895,6975.246988604228,6956.554874991476,175254,7029.758968002791
pesos_clase,referencia_007217143,50,466,173429,73,75335,249303,0.0026797780269702982,0.8645640074211502,0.0053429950583028536,173895,6975.246988604228,6956.554874991476,177079,7102.963061014108
pesos_clase,referencia_007217143,100,466,173429,73,75335,249303,0.0026797780269702982,0.8645640074211502,0.0053429950583028536,173895,6975.246988604228,6956.554874991476,180729,7249.371247036738
sin_balanceo,costo,5,155,7752,384,241012,249303,0.01960288352093082,0.287569573283859,0.03670376509590339,7907,317.1642539399847,310.94692001299626,9672,387.9616370440789
sin_balanceo,costo,10,185,20870,354,227894,249303,0.008786511517454286,0.3432282003710575,0.017134389182180236,21055,844.5546182757528,837.1339293951537,24410,979.1298139212123
sin_balanceo,costo,25,191,21004,348,227760,249303,0.009011559330030668,0.35435992578849723,0.01757614797092114,21195,850.1702747259359,842.5089148546147,29704,1191.481851401708
sin_balanceo,costo,50,202,22871,337,225893,249303,0.008754821653014345,0.3747680890538033,0.01710994409622226,23073,925.5002948219636,917.3977048009851,39721,1593.2820704123096
sin_balanceo,costo,100,213,25316,326,223448,249303,0.008343452544165459,0.39517625231910947,0.016341875095903024,25529,1024.0149536908903,1015.4711335202545,57916,2323.1168497771787
sin_balanceo,f1_validacion,5,162,7863,377,240901,249303,0.020186915887850466,0.300556586270872,0.037832788416627745,8025,321.8974500908533,315.3993333413557,9748,391.0101362598926
sin_balanceo,f1_validacion,10,162,7863,377,240901,249303,0.020186915887850466,0.300556586270872,0.037832788416627745,8025,321.8974500908533,315.3993333413557,11633,466.62093917842947
sin_balanceo,f1_validacion,25,162,7863,377,240901,249303,0.020186915887850466,0.300556586270872,0.037832788416627745,8025,321.8974500908533,315.3993333413557,17288,693.4533479340402
sin_balanceo,f1_validacion,50,162,7863,377,240901,249303,0.020186915887850466,0.300556586270872,0.037832788416627745,8025,321.8974500908533,315.3993333413557,26713,1071.5073625267246
sin_balanceo,f1_validacion,100,162,7863,377,240901,249303,0.020186915887850466,0.300556586270872,0.037832788416627745,8025,321.8974500908533,315.3993333413557,45563,1827.6153917120932
sin_balanceo,referencia_007217143,5,226,36683,313,212081,249303,0.006123167791053673,0.41929499072356213,0.01207007049775689,36909,1480.4875994272031,1471.422325443336,38248,1534.197342190026
sin_balanceo,referencia_007217143,10,226,36683,313,212081,249303,0.006123167791053673,0.41929499072356213,0.01207007049775689,36909,1480.4875994272031,1471.422325443336,39813,1596.9723589367156
sin_balanceo,referencia_007217143,25,226,36683,313,212081,249303,0.006123167791053673,0.41929499072356213,0.01207007049775689,36909,1480.4875994272031,1471.422325443336,44508,1785.2974091767849
sin_balanceo,referencia_007217143,50,226,36683,313,212081,249303,0.006123167791053673,0.41929499072356213,0.01207007049775689,36909,1480.4875994272031,1471.422325443336,52333,2099.172492910234
sin_balanceo,referencia_007217143,100,226,36683,313,212081,249303,0.006123167791053673,0.41929499072356213,0.01207007049775689,36909,1480.4875994272031,1471.422325443336,67983,2726.9226603771313
smotenc,costo,5,77,149,462,248615,249303,0.3407079646017699,0.14285714285714285,0.20130718954248367,226,9.065273983867021,5.976662936266311,2459,98.63499436428764
smotenc,costo,10,103,255,436,248509,249303,0.2877094972067039,0.19109461966604824,0.22965440356744704,358,14.360035779753954,10.228517105690665,4615,185.11610369710755
smotenc,costo,25,219,1096,320,247668,249303,0.16653992395437262,0.40630797773654914,0.23624595469255663,1315,52.747058799934216,43.96256763857635,9096,364.8572219347541
smotenc,costo,50,256,1648,283,247116,249303,0.13445378151260504,0.4749536178107607,0.20957838722881703,1904,76.3729277224903,66.10429878501262,15798,633.686718571377
smotenc,costo,100,281,2366,258,246398,249303,0.1061579146203249,0.5213358070500927,0.17639673571876963,2647,106.17601874024781,94.90459400809456,28166,1129.789854113268
smotenc,f1_validacion,5,120,413,419,248351,249303,0.225140712945591,0.22263450834879406,0.22388059701492538,533,21.37960634248284,16.566186528040177,2508,100.60047412185172
smotenc,f1_validacion,10,120,413,419,248351,249303,0.225140712945591,0.22263450834879406,0.22388059701492538,533,21.37960634248284,16.566186528040177,4603,184.63476171566327
smotenc,f1_validacion,25,120,413,419,248351,249303,0.225140712945591,0.22263450834879406,0.22388059701492538,533,21.37960634248284,16.566186528040177,10888,436.7376244970979
smotenc,f1_validacion,50,120,413,419,248351,249303,0.225140712945591,0.22263450834879406,0.22388059701492538,533,21.37960634248284,16.566186528040177,21363,856.9090624661557
smotenc,f1_validacion,100,120,413,419,248351,249303,0.225140712945591,0.22263450834879406,0.22388059701492538,533,21.37960634248284,16.566186528040177,42313,1697.2519384042712
smotenc,referencia_007217143,5,390,145374,149,103390,249303,0.002675557750884992,0.7235621521335807,0.005331401269967123,145764,5846.861048603507,5831.217434206568,146119,5861.1007488878995
smotenc,referencia_007217143,10,390,145374,149,103390,249303,0.002675557750884992,0.7235621521335807,0.005331401269967123,145764,5846.861048603507,5831.217434206568,146864,5890.984063569231
smotenc,referencia_007217143,25,390,145374,149,103390,249303,0.002675557750884992,0.7235621521335807,0.005331401269967123,145764,5846.861048603507,5831.217434206568,149099,5980.634007613226
smotenc,referencia_007217143,50,390,145374,149,103390,249303,0.002675557750884992,0.7235621521335807,0.005331401269967123,145764,5846.861048603507,5831.217434206568,152824,6130.050581019884
smotenc,referencia_007217143,100,390,145374,149,103390,249303,0.002675557750884992,0.7235621521335807,0.005331401269967123,145764,5846.861048603507,5831.217434206568,160274,6428.883727833199
submuestreo,costo,5,90,147,449,248617,249303,0.379746835443038,0.16697588126159554,0.23195876288659795,237,9.506504133524265,5.896439272692266,2392,95.94750163455714
submuestreo,costo,10,126,393,413,248371,249303,0.24277456647398843,0.23376623376623376,0.2381852551984877,519,20.818040697464532,15.763949892299731,4523,181.4258151727015
submuestreo,costo,25,196,731,343,248033,249303,0.21143473570658036,0.36363636363636365,0.2673942701227831,927,37.183668066569595,29.321749036313243,9306,373.28070661002874
submuestreo,costo,50,221,1605,318,247159,249303,0.12102957283680175,0.4100185528756957,0.18689217758985202,1826,73.24420484310257,64.37949001817066,17505,702.157615431824
submuestreo,costo,100,300,5178,239,243586,249303,0.054764512595837894,0.5565862708719852,0.09971746717633372,5478,219.7326145293077,207.69906499320103,29078,1166.3718447030321
submuestreo,f1_validacion,5,90,288,449,248476,249303,0.23809523809523808,0.16697588126159554,0.19629225736095965,378,15.162272415494398,11.552207554662399,2533,101.60326991652728
submuestreo,f1_validacion,10,90,288,449,248476,249303,0.23809523809523808,0.16697588126159554,0.19629225736095965,378,15.162272415494398,11.552207554662399,4778,191.65433227839216
submuestreo,f1_validacion,25,90,288,449,248476,249303,0.23809523809523808,0.16697588126159554,0.19629225736095965,378,15.162272415494398,11.552207554662399,11513,461.8075193639868
submuestreo,f1_validacion,50,90,288,449,248476,249303,0.23809523809523808,0.16697588126159554,0.19629225736095965,378,15.162272415494398,11.552207554662399,22738,912.0628311733112
submuestreo,f1_validacion,100,90,288,449,248476,249303,0.23809523809523808,0.16697588126159554,0.19629225736095965,378,15.162272415494398,11.552207554662399,45188,1812.5734547919599
submuestreo,referencia_007217143,5,435,159298,104,89466,249303,0.002723294497693025,0.8070500927643784,0.0054282719377059,159733,6407.18322683642,6389.734580009065,159818,6410.592732538317
submuestreo,referencia_007217143,10,435,159298,104,89466,249303,0.002723294497693025,0.8070500927643784,0.0054282719377059,159733,6407.18322683642,6389.734580009065,160338,6431.450885067568
submuestreo,referencia_007217143,25,435,159298,104,89466,249303,0.002723294497693025,0.8070500927643784,0.0054282719377059,159733,6407.18322683642,6389.734580009065,161898,6494.025342655323
submuestreo,referencia_007217143,50,435,159298,104,89466,249303,0.002723294497693025,0.8070500927643784,0.0054282719377059,159733,6407.18322683642,6389.734580009065,164498,6598.316105301581
submuestreo,referencia_007217143,100,435,159298,104,89466,249303,0.002723294497693025,0.8070500927643784,0.0054282719377059,159733,6407.18322683642,6389.734580009065,169698,6806.897630594096
