evaluation_year,strategy,policy,cost_fn,cost_fp,threshold,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,cost,cost_per_10000,average_precision,roc_auc
2015,smotenc,f1_validacion,50,1,0.5768130043177482,56,153,134,87727,88070,0.2679425837320574,0.29473684210526313,0.2807017543859649,209,23.73112297036448,17.372544566821848,6853,778.1310321335301,0.2103776303506985,0.8862914141293151
2015,smotenc,referencia_007217143,50,1,0.07217143,175,69529,15,18351,88070,0.0025106163204407206,0.9210526315789473,0.005007582911265631,69704,7914.613375723856,7894.742818212785,70279,7979.902350403088,0.2103776303506985,0.8862914141293151
2015,smotenc,costo,100,1,0.3854012022840137,123,944,67,86936,88070,0.11527647610121837,0.6473684210526316,0.1957040572792363,1067,121.1536277960713,107.18746451686158,7644,867.9459520835699,0.2103776303506985,0.8862914141293151
2015,smotenc,f1_validacion,100,1,0.5768130043177482,56,153,134,87727,88070,0.2679425837320574,0.29473684210526313,0.2807017543859649,209,23.73112297036448,17.372544566821848,13553,1538.8895197002385,0.2103776303506985,0.8862914141293151
2015,smotenc,referencia_007217143,100,1,0.07217143,175,69529,15,18351,88070,0.0025106163204407206,0.9210526315789473,0.005007582911265631,69704,7914.613375723856,7894.742818212785,71029,8065.061882593392,0.2103776303506985,0.8862914141293151
2015,pesos_clase,costo,5,1,0.8187729943545314,20,7,170,87873,88070,0.7407407407407407,0.10526315789473684,0.18433179723502305,27,3.065743158850914,0.7948223004428295,857,97.30895878278642,0.27094713137740284,0.9068417459214718
2015,pesos_clase,f1_validacion,5,1,0.7159845724600464,52,102,138,87778,88070,0.33766233766233766,0.2736842105263158,0.3023255813953488,154,17.486090609742252,11.581696377881231,792,89.92846599296014,0.27094713137740284,0.9068417459214718
2015,pesos_clase,referencia_007217143,5,1,0.07217143,175,73310,15,14570,88070,0.0023814383887868274,0.9210526315789473,0.004750593824228029,73485,8343.930964005904,8324.060406494833,73385,8332.576359713863,0.27094713137740284,0.9068417459214718
2015,pesos_clase,costo,10,1,0.7159845724600464,52,102,138,87778,88070,0.33766233766233766,0.2736842105263158,0.3023255813953488,154,17.486090609742252,11.581696377881231,1482,168.27523560803908,0.27094713137740284,0.9068417459214718
2015,pesos_clase,f1_validacion,10,1,0.7159845724600464,52,102,138,87778,88070,0.33766233766233766,0.2736842105263158,0.3023255813953488,154,17.486090609742252,11.581696377881231,1482,168.27523560803908,0.27094713137740284,0.9068417459214718
2015,pesos_clase,referencia_007217143,10,1,0.07217143,175,73310,15,14570,88070,0.0023814383887868274,0.9210526315789473,0.004750593824228029,73485,8343.930964005904,8324.060406494833,73460,8341.092312932895,0.27094713137740284,0.9068417459214718
2015,pesos_clase,costo,25,1,0.5580218253084854,115,561,75,87319,88070,0.17011834319526628,0.6052631578947368,0.26558891454965355,676,76.75712501419325,63.69933007834677,2436,276.5981605541047,0.27094713137740284,0.9068417459214718
2015,pesos_clase,f1_validacion,25,1,0.7159845724600464,52,102,138,87778,88070,0.33766233766233766,0.2736842105263158,0.3023255813953488,154,17.486090609742252,11.581696377881231,3552,403.3155444532758,0.27094713137740284,0.9068417459214718
2015,pesos_clase,referencia_007217143,25,1,0.07217143,175,73310,15,14570,88070,0.0023814383887868274,0.9210526315789473,0.004750593824228029,73485,8343.930964005904,8324.060406494833,73685,8366.640172589985,0.27094713137740284,0.9068417459214718
2015,pesos_clase,costo,50,1,0.5580218253084854,115,561,75,87319,88070,0.17011834319526628,0.6052631578947368,0.26558891454965355,676,76.75712501419325,63.69933007834677,4311,489.49699102986256,0.27094713137740284,0.9068417459214718
2015,pesos_clase,f1_validacion,50,1,0.7159845724600464,52,102,138,87778,88070,0.33766233766233766,0.2736842105263158,0.3023255813953488,154,17.486090609742252,11.581696377881231,7002,795.0493925286704,0.27094713137740284,0.9068417459214718
2015,pesos_clase,referencia_007217143,50,1,0.07217143,175,73310,15,14570,88070,0.0023814383887868274,0.9210526315789473,0.004750593824228029,73485,8343.930964005904,8324.060406494833,74060,8409.219938685137,0.27094713137740284,0.9068417459214718
2015,pesos_clase,costo,100,1,0.5580218253084854,115,561,75,87319,88070,0.17011834319526628,0.6052631578947368,0.26558891454965355,676,76.75712501419325,63.69933007834677,8061,915.2946519813785,0.27094713137740284,0.9068417459214718
2015,pesos_clase,f1_validacion,100,1,0.7159845724600464,52,102,138,87778,88070,0.33766233766233766,0.2736842105263158,0.3023255813953488,154,17.486090609742252,11.581696377881231,13902,1578.5170886794594,0.27094713137740284,0.9068417459214718
2015,pesos_clase,referencia_007217143,100,1,0.07217143,175,73310,15,14570,88070,0.0023814383887868274,0.9210526315789473,0.004750593824228029,73485,8343.930964005904,8324.060406494833,74810,8494.379470875441,0.27094713137740284,0.9068417459214718
2016,sin_balanceo,costo,5,1,0.29884679655198515,73,3,153,87556,87785,0.9605263157894737,0.3230088495575221,0.48344370860927155,76,8.657515520874865,0.3417440337187447,768,87.48647263199862,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,f1_validacion,5,1,0.29884679655198515,73,3,153,87556,87785,0.9605263157894737,0.3230088495575221,0.48344370860927155,76,8.657515520874865,0.3417440337187447,768,87.48647263199862,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,referencia_007217143,5,1,0.07217143,122,19465,104,68094,87785,0.00622862102414867,0.5398230088495575,0.012315146620905467,19587,2231.246796149684,2217.3492054451217,19985,2276.584837956371,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,costo,10,1,0.2894350813463686,73,13,153,87546,87785,0.8488372093023255,0.3230088495575221,0.46794871794871795,86,9.796662299937347,1.4808908127812268,1543,175.77034800934103,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,f1_validacion,10,1,0.29884679655198515,73,3,153,87556,87785,0.9605263157894737,0.3230088495575221,0.48344370860927155,76,8.657515520874865,0.3417440337187447,1533,174.6312012302785,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,referencia_007217143,10,1,0.07217143,122,19465,104,68094,87785,0.00622862102414867,0.5398230088495575,0.012315146620905467,19587,2231.246796149684,2217.3492054451217,20505,2335.8204704676195,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,costo,25,1,0.28233452434572937,73,44,153,87515,87785,0.6239316239316239,0.3230088495575221,0.42565597667638483,117,13.328017315031042,5.012245827874922,3869,440.73588881927435,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,f1_validacion,25,1,0.29884679655198515,73,3,153,87556,87785,0.9605263157894737,0.3230088495575221,0.48344370860927155,76,8.657515520874865,0.3417440337187447,3828,436.0653870251182,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,referencia_007217143,25,1,0.07217143,122,19465,104,68094,87785,0.00622862102414867,0.5398230088495575,0.012315146620905467,19587,2231.246796149684,2217.3492054451217,22065,2513.527368001367,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,costo,50,1,0.26697187989342924,73,193,153,87366,87785,0.2744360902255639,0.3230088495575221,0.2967479674796748,266,30.301304323062027,21.985532835905907,7843,893.4328188187047,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,f1_validacion,50,1,0.29884679655198515,73,3,153,87556,87785,0.9605263157894737,0.3230088495575221,0.48344370860927155,76,8.657515520874865,0.3417440337187447,7653,871.7890300165176,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,referencia_007217143,50,1,0.07217143,122,19465,104,68094,87785,0.00622862102414867,0.5398230088495575,0.012315146620905467,19587,2231.246796149684,2217.3492054451217,24665,2809.7055305576123,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,costo,100,1,0.26697187989342924,73,193,153,87366,87785,0.2744360902255639,0.3230088495575221,0.2967479674796748,266,30.301304323062027,21.985532835905907,15493,1764.8801048015036,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,f1_validacion,100,1,0.29884679655198515,73,3,153,87556,87785,0.9605263157894737,0.3230088495575221,0.48344370860927155,76,8.657515520874865,0.3417440337187447,15303,1743.2363159993163,0.3288894059747025,0.8073729703571813
2016,sin_balanceo,referencia_007217143,100,1,0.07217143,122,19465,104,68094,87785,0.00622862102414867,0.5398230088495575,0.012315146620905467,19587,2231.246796149684,2217.3492054451217,29865,3402.0618556701033,0.3288894059747025,0.8073729703571813
2016,submuestreo,costo,5,1,0.6082247787236276,76,136,150,87423,87785,0.3584905660377358,0.336283185840708,0.3470319634703196,212,24.149911716124624,15.492396195249757,886,100.92840462493592,0.27891757591314936,0.9157471265645708
2016,submuestreo,f1_validacion,5,1,0.6082247787236276,76,136,150,87423,87785,0.3584905660377358,0.336283185840708,0.3470319634703196,212,24.149911716124624,15.492396195249757,886,100.92840462493592,0.27891757591314936,0.9157471265645708
2016,submuestreo,referencia_007217143,5,1,0.07217143,215,72709,11,14850,87785,0.00294827491635127,0.9513274336283186,0.0058783321941216675,72924,8307.113971635245,8282.622315885403,72764,8288.887623170245,0.27891757591314936,0.9157471265645708
2016,submuestreo,costo,10,1,0.5375463996969455,112,382,114,87177,87785,0.22672064777327935,0.49557522123893805,0.3111111111111111,494,56.27385088568662,43.51540696018682,1522,173.3781397733098,0.27891757591314936,0.9157471265645708
2016,submuestreo,f1_validacion,10,1,0.6082247787236276,76,136,150,87423,87785,0.3584905660377358,0.336283185840708,0.3470319634703196,212,24.149911716124624,15.492396195249757,1636,186.36441305462208,0.27891757591314936,0.9157471265645708
2016,submuestreo,referencia_007217143,10,1,0.07217143,215,72709,11,14850,87785,0.00294827491635127,0.9513274336283186,0.0058783321941216675,72924,8307.113971635245,8282.622315885403,72819,8295.15293045509,0.27891757591314936,0.9157471265645708
2016,submuestreo,costo,25,1,0.5189304084629085,123,484,103,87075,87785,0.2026359143327842,0.5442477876106194,0.29531812725090034,607,69.14620948909267,55.13470410662414,3059,348.4649997152133,0.27891757591314936,0.9157471265645708
2016,submuestreo,f1_validacion,25,1,0.6082247787236276,76,136,150,87423,87785,0.3584905660377358,0.336283185840708,0.3470319634703196,212,24.149911716124624,15.492396195249757,3886,442.6724383436806,0.27891757591314936,0.9157471265645708
2016,submuestreo,referencia_007217143,25,1,0.07217143,215,72709,11,14850,87785,0.00294827491635127,0.9513274336283186,0.0058783321941216675,72924,8307.113971635245,8282.622315885403,72984,8313.94885230962,0.27891757591314936,0.9157471265645708
2016,submuestreo,costo,50,1,0.43272419993629385,148,1358,78,86201,87785,0.09827357237715803,0.6548672566371682,0.17090069284064666,1506,171.55550492680982,154.6961325966851,5258,598.9633764310531,0.27891757591314936,0.9157471265645708
2016,submuestreo,f1_validacion,50,1,0.6082247787236276,76,136,150,87423,87785,0.3584905660377358,0.336283185840708,0.3470319634703196,212,24.149911716124624,15.492396195249757,7636,869.8524804921113,0.27891757591314936,0.9157471265645708
2016,submuestreo,referencia_007217143,50,1,0.07217143,215,72709,11,14850,87785,0.00294827491635127,0.9513274336283186,0.0058783321941216675,72924,8307.113971635245,8282.622315885403,73259,8345.275388733839,0.27891757591314936,0.9157471265645708
2016,submuestreo,costo,100,1,0.4065517191864897,161,1825,65,85734,87785,0.081067472306143,0.7123893805309734,0.14556962025316456,1986,226.23455032180897,207.894287178903,8325,948.3396935695164,0.27891757591314936,0.9157471265645708
2016,submuestreo,f1_validacion,100,1,0.6082247787236276,76,136,150,87423,87785,0.3584905660377358,0.336283185840708,0.3470319634703196,212,24.149911716124624,15.492396195249757,15136,1724.2125647889732,0.27891757591314936,0.9157471265645708
2016,submuestreo,referencia_007217143,100,1,0.07217143,215,72709,11,14850,87785,0.00294827491635127,0.9513274336283186,0.0058783321941216675,72924,8307.113971635245,8282.622315885403,73809,8407.928461582274,0.27891757591314936,0.9157471265645708
