evaluation_year,strategy,cost_fn,hypothetical_alert_budget_per_10000,threshold,tp,fp,fn,tn,alerts,rows,precision,recall,f1,alerts_per_10000,cost
2015,sin_balanceo,5,10,0.164467250955841,26.0,2.0,27.0,86608.0,28.0,86663.0,0.9285714285714286,0.49056603773584906,0.6419753086419753,3.2309059229428936,137.0
2015,sin_balanceo,5,25,0.164467250955841,26.0,2.0,27.0,86608.0,28.0,86663.0,0.9285714285714286,0.49056603773584906,0.6419753086419753,3.2309059229428936,137.0
2015,sin_balanceo,5,50,0.164467250955841,26.0,2.0,27.0,86608.0,28.0,86663.0,0.9285714285714286,0.49056603773584906,0.6419753086419753,3.2309059229428936,137.0
2015,sin_balanceo,5,100,0.164467250955841,26.0,2.0,27.0,86608.0,28.0,86663.0,0.9285714285714286,0.49056603773584906,0.6419753086419753,3.2309059229428936,137.0
2015,sin_balanceo,5,250,0.164467250955841,26.0,2.0,27.0,86608.0,28.0,86663.0,0.9285714285714286,0.49056603773584906,0.6419753086419753,3.2309059229428936,137.0
2015,sin_balanceo,10,10,0.05666452451635858,32.0,36.0,21.0,86574.0,68.0,86663.0,0.47058823529411764,0.6037735849056604,0.5289256198347108,7.846485812861313,246.0
2015,sin_balanceo,10,25,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,244.0
2015,sin_balanceo,10,50,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,244.0
2015,sin_balanceo,10,100,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,244.0
2015,sin_balanceo,10,250,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,244.0
2015,sin_balanceo,25,10,0.05199335280409059,33.0,46.0,20.0,86564.0,79.0,86663.0,0.4177215189873418,0.6226415094339622,0.5,9.115770282588878,546.0
2015,sin_balanceo,25,25,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,529.0
2015,sin_balanceo,25,50,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,529.0
2015,sin_balanceo,25,100,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,529.0
2015,sin_balanceo,25,250,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,529.0
2015,sin_balanceo,50,10,0.05199335280409059,33.0,46.0,20.0,86564.0,79.0,86663.0,0.4177215189873418,0.6226415094339622,0.5,9.115770282588878,1046.0
2015,sin_balanceo,50,25,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.2713178294573643,0.660377358490566,0.38461538461538464,14.885245144986904,994.0
2015,sin_balanceo,50,50,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.2713178294573643,0.660377358490566,0.38461538461538464,14.885245144986904,994.0
2015,sin_balanceo,50,100,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.2713178294573643,0.660377358490566,0.38461538461538464,14.885245144986904,994.0
2015,sin_balanceo,50,250,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.2713178294573643,0.660377358490566,0.38461538461538464,14.885245144986904,994.0
2015,sin_balanceo,100,10,0.05199335280409059,33.0,46.0,20.0,86564.0,79.0,86663.0,0.4177215189873418,0.6226415094339622,0.5,9.115770282588878,2046.0
2015,sin_balanceo,100,25,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.2713178294573643,0.660377358490566,0.38461538461538464,14.885245144986904,1894.0
2015,sin_balanceo,100,50,0.016519726771066157,40.0,371.0,13.0,86239.0,411.0,86663.0,0.09732360097323602,0.7547169811320755,0.1724137931034483,47.42508336891176,1671.0
2015,sin_balanceo,100,100,0.016519726771066157,40.0,371.0,13.0,86239.0,411.0,86663.0,0.09732360097323602,0.7547169811320755,0.1724137931034483,47.42508336891176,1671.0
2015,sin_balanceo,100,250,0.016519726771066157,40.0,371.0,13.0,86239.0,411.0,86663.0,0.09732360097323602,0.7547169811320755,0.1724137931034483,47.42508336891176,1671.0
2015,submuestreo,5,10,0.7609461698786175,5.0,9.0,48.0,86601.0,14.0,86663.0,0.35714285714285715,0.09433962264150944,0.14925373134328357,1.6154529614714468,249.0
2015,submuestreo,5,25,0.7609461698786175,5.0,9.0,48.0,86601.0,14.0,86663.0,0.35714285714285715,0.09433962264150944,0.14925373134328357,1.6154529614714468,249.0
2015,submuestreo,5,50,0.7609461698786175,5.0,9.0,48.0,86601.0,14.0,86663.0,0.35714285714285715,0.09433962264150944,0.14925373134328357,1.6154529614714468,249.0
