evaluation_year,strategy,cost_fn,threshold,tp,fp,fn,tn,alerts,rows,precision,recall,f1,alerts_per_10000,cost
2015,sin_balanceo,5,0.164467250955841,26.0,2.0,27.0,86608.0,28.0,86663.0,0.9285714285714286,0.49056603773584906,0.6419753086419753,3.2309059229428936,137.0
2015,sin_balanceo,10,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,244.0
2015,sin_balanceo,25,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,529.0
2015,sin_balanceo,50,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.2713178294573643,0.660377358490566,0.38461538461538464,14.885245144986904,994.0
2015,sin_balanceo,100,0.016519726771066157,40.0,371.0,13.0,86239.0,411.0,86663.0,0.09732360097323602,0.7547169811320755,0.1724137931034483,47.42508336891176,1671.0
2015,submuestreo,5,0.7609461698786175,5.0,9.0,48.0,86601.0,14.0,86663.0,0.35714285714285715,0.09433962264150944,0.14925373134328357,1.6154529614714468,249.0
2015,submuestreo,10,0.7609461698786175,5.0,9.0,48.0,86601.0,14.0,86663.0,0.35714285714285715,0.09433962264150944,0.14925373134328357,1.6154529614714468,489.0
2015,submuestreo,25,0.6227897826602833,21.0,281.0,32.0,86329.0,302.0,86663.0,0.0695364238410596,0.39622641509433965,0.11830985915492957,34.84762816888407,1081.0
2015,submuestreo,50,0.6227897826602833,21.0,281.0,32.0,86329.0,302.0,86663.0,0.0695364238410596,0.39622641509433965,0.11830985915492957,34.84762816888407,1881.0
2015,submuestreo,100,0.4045232249940877,41.0,2242.0,12.0,84368.0,2283.0,86663.0,0.017958826106000875,0.7735849056603774,0.0351027397260274,263.4342222170938,3442.0
2015,smotenc,5,0.724887642176321,5.0,16.0,48.0,86594.0,21.0,86663.0,0.23809523809523808,0.09433962264150944,0.13513513513513514,2.42317944220717,256.0
2015,smotenc,10,0.724887642176321,5.0,16.0,48.0,86594.0,21.0,86663.0,0.23809523809523808,0.09433962264150944,0.13513513513513514,2.42317944220717,496.0
2015,smotenc,25,0.4891252344088401,28.0,371.0,25.0,86239.0,399.0,86663.0,0.07017543859649122,0.5283018867924528,0.12389380530973451,46.04040940193624,996.0
2015,smotenc,50,0.45323293308445506,31.0,505.0,22.0,86105.0,536.0,86663.0,0.05783582089552239,0.5849056603773585,0.10526315789473684,61.84877052490682,1605.0
2015,smotenc,100,0.3854012022840137,36.0,925.0,17.0,85685.0,961.0,86663.0,0.037460978147762745,0.6792452830188679,0.07100591715976332,110.88930685529003,2625.0
2015,pesos_clase,5,0.8187729943545314,3.0,10.0,50.0,86600.0,13.0,86663.0,0.23076923076923078,0.05660377358490566,0.09090909090909091,1.5000634642234862,260.0
2015,pesos_clase,10,0.7159845724600464,14.0,108.0,39.0,86502.0,122.0,86663.0,0.11475409836065574,0.2641509433962264,0.16,14.07751866425118,498.0
2015,pesos_clase,25,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,1038.0
2015,pesos_clase,50,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,1463.0
2015,pesos_clase,100,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,2313.0
2016,sin_balanceo,5,0.29884679655198515,56.0,0.0,134.0,87880.0,56.0,88070.0,1.0,0.29473684210526313,0.45528455284552843,6.358578403542637,670.0
2016,sin_balanceo,10,0.2894350813463686,57.0,9.0,133.0,87871.0,66.0,88070.0,0.8636363636363636,0.3,0.4453125,7.4940388327466785,1339.0
2016,sin_balanceo,25,0.28233452434572937,58.0,31.0,132.0,87849.0,89.0,88070.0,0.651685393258427,0.30526315789473685,0.4157706093189964,10.105597819915976,3331.0
