evaluation_year,candidate,round_validation,cost_fn,threshold_validation,tp_validation,fp_validation,fn_validation,tn_validation,alerts_validation,rows_validation,precision_validation,recall_validation,f1_validation,alerts_per_10000_validation,cost_validation,pool,round_evaluation,policy,threshold_evaluation,tp_evaluation,fp_evaluation,fn_evaluation,tn_evaluation,rows_evaluation,precision_evaluation,recall_evaluation,f1_evaluation,alerts_evaluation,alerts_per_10000_evaluation,fp_per_10000,cost_evaluation,average_precision,roc_auc
2015,r1_sin_balanceo,R1_rethresholded_common_validation,5,0.16446725095584097,26.0,2.0,27.0,86608.0,28.0,86663.0,0.9285714285714286,0.49056603773584906,0.6419753086419753,3.2309059229428936,137,R1,R1_rethresholded_common_validation,costo,0.16446725095584097,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8288,0.3758950793807244,0.8022092326857198
2015,rf_profundo,R2_new_fit,5,0.185,32.0,13.0,21.0,86597.0,45.0,86663.0,0.7111111111111111,0.6037735849056604,0.6530612244897959,5.192527376158223,118,R2,R2_new_fit,costo,0.185,107,18278,83,69602,88070,0.005819961925482731,0.5631578947368421,0.011520861372812921,18385,2087.5439990916316,2075.3945724991486,18693,0.42421844919856755,0.794637034951968
2015,rf_profundo,R2_new_fit,5,0.185,32.0,13.0,21.0,86597.0,45.0,86663.0,0.7111111111111111,0.6037735849056604,0.6530612244897959,5.192527376158223,118,todas,R2_new_fit,costo,0.185,107,18278,83,69602,88070,0.005819961925482731,0.5631578947368421,0.011520861372812921,18385,2087.5439990916316,2075.3945724991486,18693,0.42421844919856755,0.794637034951968
2015,r1_sin_balanceo,R1_rethresholded_common_validation,10,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,244,R1,R1_rethresholded_common_validation,costo,0.04657407529033146,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,21638,0.3758950793807244,0.8022092326857198
2015,rf_profundo,R2_new_fit,10,0.185,32.0,13.0,21.0,86597.0,45.0,86663.0,0.7111111111111111,0.6037735849056604,0.6530612244897959,5.192527376158223,223,R2,R2_new_fit,costo,0.185,107,18278,83,69602,88070,0.005819961925482731,0.5631578947368421,0.011520861372812921,18385,2087.5439990916316,2075.3945724991486,19108,0.42421844919856755,0.794637034951968
2015,rf_profundo,R2_new_fit,10,0.185,32.0,13.0,21.0,86597.0,45.0,86663.0,0.7111111111111111,0.6037735849056604,0.6530612244897959,5.192527376158223,223,todas,R2_new_fit,costo,0.185,107,18278,83,69602,88070,0.005819961925482731,0.5631578947368421,0.011520861372812921,18385,2087.5439990916316,2075.3945724991486,19108,0.42421844919856755,0.794637034951968
2015,r1_sin_balanceo,R1_rethresholded_common_validation,25,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,529,R1,R1_rethresholded_common_validation,costo,0.04657407529033146,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,22823,0.3758950793807244,0.8022092326857198
2015,rf_profundo,R2_new_fit,25,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.4375,0.660377358490566,0.5263157894736842,9.231159779836839,495,R2,R2_new_fit,costo,0.1,119,22882,71,64998,88070,0.005173688100517369,0.6263157894736842,0.010262601871415635,23001,2611.6725332122173,2598.1605541046893,24657,0.42421844919856755,0.794637034951968
2015,rf_profundo,R2_new_fit,25,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.4375,0.660377358490566,0.5263157894736842,9.231159779836839,495,todas,R2_new_fit,costo,0.1,119,22882,71,64998,88070,0.005173688100517369,0.6263157894736842,0.010262601871415635,23001,2611.6725332122173,2598.1605541046893,24657,0.42421844919856755,0.794637034951968
2015,r1_sin_balanceo,R1_rethresholded_common_validation,50,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.2713178294573643,0.660377358490566,0.38461538461538464,14.885245144986904,994,R1,R1_rethresholded_common_validation,costo,0.03486747089269901,118,22432,72,65448,88070,0.005232815964523282,0.6210526315789474,0.010378188214599824,22550,2560.463267855115,2547.0648347905076,26032,0.3758950793807244,0.8022092326857198
