evaluation_year,candidate,round,policy,cost_fn,threshold,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000,cost,average_precision,roc_auc
2015,r1_sin_balanceo,R1_rethresholded_common_validation,costo,5,0.16446725095584097,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8288,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,f1_validacion,5,0.16446725095584097,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8288,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,referencia_007217143,5,0.07217143,102,17196,88,70684,88070,0.005896635449184877,0.5368421052631579,0.011665141811527904,17298,1964.1194504371522,1952.537754059271,17636,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,costo,10,0.04657407529033146,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,21638,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,f1_validacion,10,0.16446725095584097,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,8828,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,referencia_007217143,10,0.07217143,102,17196,88,70684,88070,0.005896635449184877,0.5368421052631579,0.011665141811527904,17298,1964.1194504371522,1952.537754059271,18076,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,costo,25,0.04657407529033146,111,20848,79,67032,88070,0.005296054201059211,0.5842105263157895,0.01049695021041184,20959,2379.811513568752,2367.2079028045873,22823,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,f1_validacion,25,0.16446725095584097,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,10448,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,referencia_007217143,25,0.07217143,102,17196,88,70684,88070,0.005896635449184877,0.5368421052631579,0.011665141811527904,17298,1964.1194504371522,1952.537754059271,19396,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,costo,50,0.03486747089269901,118,22432,72,65448,88070,0.005232815964523282,0.6210526315789474,0.010378188214599824,22550,2560.463267855115,2547.0648347905076,26032,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,f1_validacion,50,0.16446725095584097,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,13148,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,referencia_007217143,50,0.07217143,102,17196,88,70684,88070,0.005896635449184877,0.5368421052631579,0.011665141811527904,17298,1964.1194504371522,1952.537754059271,21596,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,costo,100,0.016519726771066157,126,24658,64,63222,88070,0.005083925112976113,0.6631578947368421,0.010090494113878433,24784,2814.1251277392985,2799.818326331327,31058,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,f1_validacion,100,0.16446725095584097,82,7748,108,80132,88070,0.010472541507024266,0.43157894736842106,0.020448877805486283,7830,889.0655160667651,879.7547405472919,18548,0.3758950793807244,0.8022092326857198
2015,r1_sin_balanceo,R1_rethresholded_common_validation,referencia_007217143,100,0.07217143,102,17196,88,70684,88070,0.005896635449184877,0.5368421052631579,0.011665141811527904,17298,1964.1194504371522,1952.537754059271,25996,0.3758950793807244,0.8022092326857198
2015,r1_submuestreo,R1_rethresholded_common_validation,costo,5,0.7609461698786175,14,11,176,87869,88070,0.56,0.07368421052631578,0.13023255813953488,25,2.8386510730101056,1.2490064721244465,891,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,f1_validacion,5,0.7609461698786175,14,11,176,87869,88070,0.56,0.07368421052631578,0.13023255813953488,25,2.8386510730101056,1.2490064721244465,891,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,referencia_007217143,5,0.07217143,177,73291,13,14589,88070,0.0024092121740077314,0.9315789473684211,0.0048059952754622715,73468,8342.000681276257,8321.903031679345,73356,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,costo,10,0.7609461698786175,14,11,176,87869,88070,0.56,0.07368421052631578,0.13023255813953488,25,2.8386510730101056,1.2490064721244465,1771,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,f1_validacion,10,0.7609461698786175,14,11,176,87869,88070,0.56,0.07368421052631578,0.13023255813953488,25,2.8386510730101056,1.2490064721244465,1771,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,referencia_007217143,10,0.07217143,177,73291,13,14589,88070,0.0024092121740077314,0.9315789473684211,0.0048059952754622715,73468,8342.000681276257,8321.903031679345,73421,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,costo,25,0.6227897826602833,73,247,117,87633,88070,0.228125,0.38421052631578945,0.28627450980392155,320,36.33473373452935,28.045872601339845,3172,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,f1_validacion,25,0.7609461698786175,14,11,176,87869,88070,0.56,0.07368421052631578,0.13023255813953488,25,2.8386510730101056,1.2490064721244465,4411,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,referencia_007217143,25,0.07217143,177,73291,13,14589,88070,0.0024092121740077314,0.9315789473684211,0.0048059952754622715,73468,8342.000681276257,8321.903031679345,73616,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,costo,50,0.6227897826602833,73,247,117,87633,88070,0.228125,0.38421052631578945,0.28627450980392155,320,36.33473373452935,28.045872601339845,6097,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,f1_validacion,50,0.7609461698786175,14,11,176,87869,88070,0.56,0.07368421052631578,0.13023255813953488,25,2.8386510730101056,1.2490064721244465,8811,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,referencia_007217143,50,0.07217143,177,73291,13,14589,88070,0.0024092121740077314,0.9315789473684211,0.0048059952754622715,73468,8342.000681276257,8321.903031679345,73941,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,costo,100,0.4045232249940877,139,3212,51,84668,88070,0.04148015517755894,0.7315789473684211,0.0785088957921491,3351,380.49278982627453,364.70988986033836,8312,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,f1_validacion,100,0.7609461698786175,14,11,176,87869,88070,0.56,0.07368421052631578,0.13023255813953488,25,2.8386510730101056,1.2490064721244465,17611,0.22737454612535676,0.9064959993292289
2015,r1_submuestreo,R1_rethresholded_common_validation,referencia_007217143,100,0.07217143,177,73291,13,14589,88070,0.0024092121740077314,0.9315789473684211,0.0048059952754622715,73468,8342.000681276257,8321.903031679345,74591,0.22737454612535676,0.9064959993292289
2015,r1_smotenc,R1_rethresholded_common_validation,costo,5,0.724887642176321,14,14,176,87866,88070,0.5,0.07368421052631578,0.12844036697247707,28,3.179289201771318,1.589644600885659,894,0.2103776303506985,0.8862914141293151
2015,r1_smotenc,R1_rethresholded_common_validation,f1_validacion,5,0.5768130043177482,56,153,134,87727,88070,0.2679425837320574,0.29473684210526313,0.2807017543859649,209,23.73112297036448,17.372544566821848,823,0.2103776303506985,0.8862914141293151
2015,r1_smotenc,R1_rethresholded_common_validation,referencia_007217143,5,0.07217143,175,69529,15,18351,88070,0.0025106163204407206,0.9210526315789473,0.005007582911265631,69704,7914.613375723856,7894.742818212785,69604,0.2103776303506985,0.8862914141293151
2015,r1_smotenc,R1_rethresholded_common_validation,costo,10,0.724887642176321,14,14,176,87866,88070,0.5,0.07368421052631578,0.12844036697247707,28,3.179289201771318,1.589644600885659,1774,0.2103776303506985,0.8862914141293151
2015,r1_smotenc,R1_rethresholded_common_validation,f1_validacion,10,0.5768130043177482,56,153,134,87727,88070,0.2679425837320574,0.29473684210526313,0.2807017543859649,209,23.73112297036448,17.372544566821848,1493,0.2103776303506985,0.8862914141293151
2015,r1_smotenc,R1_rethresholded_common_validation,referencia_007217143,10,0.07217143,175,69529,15,18351,88070,0.0025106163204407206,0.9210526315789473,0.005007582911265631,69704,7914.613375723856,7894.742818212785,69679,0.2103776303506985,0.8862914141293151
2015,r1_smotenc,R1_rethresholded_common_validation,costo,25,0.4891252344088401,87,364,103,87516,88070,0.19290465631929046,0.45789473684210524,0.2714508580343214,451,51.2092653571023,41.330759623027134,2939,0.2103776303506985,0.8862914141293151
2015,r1_smotenc,R1_rethresholded_common_validation,f1_validacion,25,0.5768130043177482,56,153,134,87727,88070,0.2679425837320574,0.29473684210526313,0.2807017543859649,209,23.73112297036448,17.372544566821848,3503,0.2103776303506985,0.8862914141293151
2015,r1_smotenc,R1_rethresholded_common_validation,referencia_007217143,25,0.07217143,175,69529,15,18351,88070,0.0025106163204407206,0.9210526315789473,0.005007582911265631,69704,7914.613375723856,7894.742818212785,69904,0.2103776303506985,0.8862914141293151
2015,r1_smotenc,R1_rethresholded_common_validation,costo,50,0.45323293308445506,102,511,88,87369,88070,0.16639477977161501,0.5368421052631579,0.25404732254047324,613,69.6037243102078,58.02202793232656,4911,0.2103776303506985,0.8862914141293151
2015,r1_smotenc,R1_rethresholded_common_validation,f1_validacion,50,0.5768130043177482,56,153,134,87727,88070,0.2679425837320574,0.29473684210526313,0.2807017543859649,209,23.73112297036448,17.372544566821848,6853,0.2103776303506985,0.8862914141293151
2015,r1_smotenc,R1_rethresholded_common_validation,referencia_007217143,50,0.07217143,175,69529,15,18351,88070,0.0025106163204407206,0.9210526315789473,0.005007582911265631,69704,7914.613375723856,7894.742818212785,70279,0.2103776303506985,0.8862914141293151
