architecture,training_rows,training_frauds,hidden_layers,device,epochs_completed,best_epoch,convergence_rule,training_seconds,validation_prediction_seconds,validation_roc_auc,validation_pr_auc,default_threshold,default_precision,default_recall,default_f1,default_true_negatives,default_false_positives,default_false_negatives,default_true_positives,tuned_threshold,tuned_precision,tuned_recall,tuned_f1,tuned_true_negatives,tuned_false_positives,tuned_false_negatives,tuned_true_positives,test_used
mlp_basic_64,693182,989,64,cuda,15,15,validation_pr_auc_with_early_stopping,281.5591,3.0212,0.90803005,0.16568584,0.5,1.0,0.00471698,0.00938967,148327,0,211,1,0.05179813,0.29901961,0.28773585,0.29326923,148184,143,151,61,no
mlp_deep_l2_128_64_32,693182,989,128-64-32,cuda,8,5,validation_pr_auc_with_early_stopping,160.8572,3.0132,0.88322917,0.05026882,0.5,0.0,0.0,0.0,148327,0,212,0,0.01901588,0.07176287,0.21698113,0.10785463,147732,595,166,46,no
mlp_wide_adam_256_128_64,693182,989,256-128-64,cuda,12,9,validation_pr_auc_with_early_stopping,299.584,3.7724,0.89571949,0.12896904,0.5,0.0,0.0,0.0,148327,0,212,0,0.03860129,0.17295597,0.25943396,0.20754717,148064,263,157,55,no
