Umbral,Precisión,Recall,F1,Costo
0.01,0.009895926340412737,0.38434562210730217,0.015740471976838942,13254.375
0.02,0.036884478941432146,0.2902980961085051,0.027543819805835836,10133.0
0.03,0.04725608373883217,0.19031804593793936,0.026737537076236186,9363.5
0.04,0.04893953798625806,0.16138669911400857,0.027616444991288406,5324.5625
0.05,0.10486810546574828,0.10450375404990468,0.05141133096610536,1496.125
0.060000000000000005,0.21940363155360632,0.0764191101654287,0.07348221393854434,820.0
0.06999999999999999,0.2916289645455037,0.06120166460262797,0.07445551687122139,792.25
0.08,0.3857730253714827,0.05320856106311439,0.07548470782225736,792.4375
0.09,0.43271488521969376,0.04420570163301022,0.0701398362792463,796.75
0.09999999999999999,0.47256652661064424,0.0381085375613088,0.06426871323939184,804.3125
0.11,0.4783760098940343,0.03257997736746756,0.05732997959065081,811.3125
0.12,0.4261904761904762,0.027875505948953196,0.05003394999325158,818.0
0.13,0.432031522117729,0.024263201120372994,0.04434031328322216,822.3125
0.14,0.385721916971917,0.01928101619305627,0.035618091129133,827.5
0.15000000000000002,0.32051321640316205,0.013683994512979566,0.02548996183716956,832.9375
0.16,0.3571428571428571,0.012362959934320069,0.023310987704047367,834.5
0.17,0.37439903846153844,0.009889189033911856,0.018862263793095628,837.875
0.18000000000000002,0.31524725274725274,0.008578176528869498,0.016337990921556553,839.0
0.19,0.3125,0.007899280096686919,0.01512686274743507,840.1875
0.2,0.3132102272727273,0.0073178847478497094,0.014084578966570635,841.25
