evaluation_year,candidate,round,cost_fn,threshold,tp,fp,fn,tn,alerts,rows,precision,recall,f1,alerts_per_10000,cost
2015,r1_pesos_clase,previous,5,0.8187729943545314,3.0,10.0,50.0,86600.0,13.0,86663.0,0.23076923076923078,0.05660377358490566,0.09090909090909091,1.5000634642234862,260
2015,r1_pesos_clase,previous,10,0.7159845724600464,14.0,108.0,39.0,86502.0,122.0,86663.0,0.11475409836065574,0.2641509433962264,0.16,14.07751866425118,498
2015,r1_pesos_clase,previous,25,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,1038
2015,r1_pesos_clase,previous,50,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,1463
2015,r1_pesos_clase,previous,100,0.5580218253084854,36.0,613.0,17.0,85997.0,649.0,86663.0,0.05546995377503852,0.6792452830188679,0.10256410256410256,74.88778371392635,2313
2015,r1_sin_balanceo,previous,5,0.16446725095584097,26.0,2.0,27.0,86608.0,28.0,86663.0,0.9285714285714286,0.49056603773584906,0.6419753086419753,3.2309059229428936,137
2015,r1_sin_balanceo,previous,10,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,244
2015,r1_sin_balanceo,previous,25,0.04657407529033146,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,529
2015,r1_sin_balanceo,previous,50,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.2713178294573643,0.660377358490566,0.38461538461538464,14.885245144986904,994
2015,r1_sin_balanceo,previous,100,0.016519726771066157,40.0,371.0,13.0,86239.0,411.0,86663.0,0.09732360097323602,0.7547169811320755,0.1724137931034483,47.42508336891176,1671
2015,r1_smotenc,previous,5,0.724887642176321,5.0,16.0,48.0,86594.0,21.0,86663.0,0.23809523809523808,0.09433962264150944,0.13513513513513514,2.42317944220717,256
2015,r1_smotenc,previous,10,0.724887642176321,5.0,16.0,48.0,86594.0,21.0,86663.0,0.23809523809523808,0.09433962264150944,0.13513513513513514,2.42317944220717,496
2015,r1_smotenc,previous,25,0.4891252344088401,28.0,371.0,25.0,86239.0,399.0,86663.0,0.07017543859649122,0.5283018867924528,0.12389380530973451,46.04040940193624,996
2015,r1_smotenc,previous,50,0.45323293308445506,31.0,505.0,22.0,86105.0,536.0,86663.0,0.05783582089552239,0.5849056603773585,0.10526315789473684,61.84877052490682,1605
2015,r1_smotenc,previous,100,0.3854012022840137,36.0,925.0,17.0,85685.0,961.0,86663.0,0.037460978147762745,0.6792452830188679,0.07100591715976332,110.88930685529003,2625
2015,r1_submuestreo,previous,5,0.7609461698786175,5.0,9.0,48.0,86601.0,14.0,86663.0,0.35714285714285715,0.09433962264150944,0.14925373134328357,1.6154529614714468,249
2015,r1_submuestreo,previous,10,0.7609461698786175,5.0,9.0,48.0,86601.0,14.0,86663.0,0.35714285714285715,0.09433962264150944,0.14925373134328357,1.6154529614714468,489
2015,r1_submuestreo,previous,25,0.6227897826602833,21.0,281.0,32.0,86329.0,302.0,86663.0,0.0695364238410596,0.39622641509433965,0.11830985915492957,34.84762816888407,1081
2015,r1_submuestreo,previous,50,0.6227897826602833,21.0,281.0,32.0,86329.0,302.0,86663.0,0.0695364238410596,0.39622641509433965,0.11830985915492957,34.84762816888407,1881
2015,r1_submuestreo,previous,100,0.4045232249940877,41.0,2242.0,12.0,84368.0,2283.0,86663.0,0.017958826106000875,0.7735849056603774,0.0351027397260274,263.4342222170938,3442
2015,rf_actualizado,previous,5,0.164467250955841,26.0,2.0,27.0,86608.0,28.0,86663.0,0.9285714285714286,0.49056603773584906,0.6419753086419753,3.2309059229428936,137
2015,rf_actualizado,previous,10,0.04657407529033145,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,244
2015,rf_actualizado,previous,25,0.04657407529033145,34.0,54.0,19.0,86556.0,88.0,86663.0,0.38636363636363635,0.6415094339622641,0.48226950354609927,10.154275757820525,529
2015,rf_actualizado,previous,50,0.03486747089269901,35.0,94.0,18.0,86516.0,129.0,86663.0,0.2713178294573643,0.660377358490566,0.38461538461538464,14.885245144986904,994
2015,rf_actualizado,previous,100,0.016519726771066157,40.0,371.0,13.0,86239.0,411.0,86663.0,0.09732360097323602,0.7547169811320755,0.1724137931034483,47.42508336891176,1671
2015,rf_peso10_reciente,previous,5,0.2135451143509528,18.0,5.0,35.0,86605.0,23.0,86663.0,0.782608695652174,0.33962264150943394,0.47368421052631576,2.6539584367030917,180
2015,rf_peso10_reciente,previous,10,0.13736302291125613,23.0,42.0,30.0,86568.0,65.0,86663.0,0.35384615384615387,0.4339622641509434,0.3898305084745763,7.500317321117431,342
2015,rf_peso10_reciente,previous,25,0.07732997574740966,30.0,178.0,23.0,86432.0,208.0,86663.0,0.14423076923076922,0.5660377358490566,0.22988505747126436,24.00101542757578,753
2015,rf_peso10_reciente,previous,50,0.07732997574740966,30.0,178.0,23.0,86432.0,208.0,86663.0,0.14423076923076922,0.5660377358490566,0.22988505747126436,24.00101542757578,1328
2015,rf_peso10_reciente,previous,100,0.0491790942829005,36.0,559.0,17.0,86051.0,595.0,86663.0,0.06050420168067227,0.6792452830188679,0.1111111111111111,68.6567508625365,2259
2015,rf_profundo,previous,5,0.185,32.0,13.0,21.0,86597.0,45.0,86663.0,0.7111111111111111,0.6037735849056604,0.6530612244897959,5.192527376158223,118
2015,rf_profundo,previous,10,0.185,32.0,13.0,21.0,86597.0,45.0,86663.0,0.7111111111111111,0.6037735849056604,0.6530612244897959,5.192527376158223,223
2015,rf_profundo,previous,25,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.4375,0.660377358490566,0.5263157894736842,9.231159779836839,495
2015,rf_profundo,previous,50,0.1,35.0,45.0,18.0,86565.0,80.0,86663.0,0.4375,0.660377358490566,0.5263157894736842,9.231159779836839,945
2015,rf_profundo,previous,100,0.03,41.0,452.0,12.0,86158.0,493.0,86663.0,0.08316430020283976,0.7735849056603774,0.15018315018315018,56.887022143244515,1652
2015,rf_reciente_3a,previous,5,0.06797182086719077,25.0,22.0,28.0,86588.0,47.0,86663.0,0.5319148936170213,0.4716981132075472,0.5,5.423306370654144,162
2015,rf_reciente_3a,previous,10,0.05141784671162139,29.0,51.0,24.0,86559.0,80.0,86663.0,0.3625,0.5471698113207547,0.43609022556390975,9.231159779836839,291
2015,rf_reciente_3a,previous,25,0.05141784671162139,29.0,51.0,24.0,86559.0,80.0,86663.0,0.3625,0.5471698113207547,0.43609022556390975,9.231159779836839,651
2015,rf_reciente_3a,previous,50,0.05141784671162139,29.0,51.0,24.0,86559.0,80.0,86663.0,0.3625,0.5471698113207547,0.43609022556390975,9.231159779836839,1251
2015,rf_reciente_3a,previous,100,0.018910813197842633,32.0,288.0,21.0,86322.0,320.0,86663.0,0.1,0.6037735849056604,0.17158176943699732,36.924639119347354,2388
2015,rf_reciente_profundo,previous,5,0.105,27.0,11.0,26.0,86599.0,38.0,86663.0,0.7105263157894737,0.5094339622641509,0.5934065934065934,4.384800895422498,141
2015,rf_reciente_profundo,previous,10,0.08,31.0,33.0,22.0,86577.0,64.0,86663.0,0.484375,0.5849056603773585,0.5299145299145299,7.384927823869471,253
2015,rf_reciente_profundo,previous,25,0.08,31.0,33.0,22.0,86577.0,64.0,86663.0,0.484375,0.5849056603773585,0.5299145299145299,7.384927823869471,583
2015,rf_reciente_profundo,previous,50,0.045,33.0,128.0,20.0,86482.0,161.0,86663.0,0.20496894409937888,0.6226415094339622,0.308411214953271,18.57770905692164,1128
2015,rf_reciente_profundo,previous,100,0.045,33.0,128.0,20.0,86482.0,161.0,86663.0,0.20496894409937888,0.6226415094339622,0.308411214953271,18.57770905692164,2128
2015,rf_revisado_reciente,previous,5,0.18029182065217428,20.0,9.0,33.0,86601.0,29.0,86663.0,0.6896551724137931,0.37735849056603776,0.4878048780487805,3.346295420190854,174
2015,rf_revisado_reciente,previous,10,0.18029182065217428,20.0,9.0,33.0,86601.0,29.0,86663.0,0.6896551724137931,0.37735849056603776,0.4878048780487805,3.346295420190854,339
2015,rf_revisado_reciente,previous,25,0.08402718726896552,30.0,121.0,23.0,86489.0,151.0,86663.0,0.1986754966887417,0.5660377358490566,0.29411764705882354,17.423814084442036,696
2015,rf_revisado_reciente,previous,50,0.06970492875311661,32.0,193.0,21.0,86417.0,225.0,86663.0,0.14222222222222222,0.6037735849056604,0.2302158273381295,25.962636880791113,1243
2015,rf_revisado_reciente,previous,100,0.05579256167442777,34.0,335.0,19.0,86275.0,369.0,86663.0,0.0921409214092141,0.6415094339622641,0.16113744075829384,42.57872448449742,2235
2015,rf_variables_revisadas,previous,5,0.09685060737076817,31.0,19.0,22.0,86591.0,50.0,86663.0,0.62,0.5849056603773585,0.6019417475728155,5.769474862398024,129
2015,rf_variables_revisadas,previous,10,0.09685060737076817,31.0,19.0,22.0,86591.0,50.0,86663.0,0.62,0.5849056603773585,0.6019417475728155,5.769474862398024,239
2015,rf_variables_revisadas,previous,25,0.04069334713831837,35.0,82.0,18.0,86528.0,117.0,86663.0,0.29914529914529914,0.660377358490566,0.4117647058823529,13.500571178011377,532
2015,rf_variables_revisadas,previous,50,0.04069334713831837,35.0,82.0,18.0,86528.0,117.0,86663.0,0.29914529914529914,0.660377358490566,0.4117647058823529,13.500571178011377,982
2015,rf_variables_revisadas,previous,100,0.022685844002530667,37.0,216.0,16.0,86394.0,253.0,86663.0,0.14624505928853754,0.6981132075471698,0.24183006535947713,29.193542803734005,1816
2015,rf_actualizado_contexto,new_context,5,0.24441381924787872,21.0,1.0,32.0,86609.0,22.0,86663.0,0.9545454545454546,0.39622641509433965,0.56,2.538568939455131,161
2015,rf_actualizado_contexto,new_context,10,0.22222171468797722,24.0,17.0,29.0,86593.0,41.0,86663.0,0.5853658536585366,0.4528301886792453,0.5106382978723404,4.73096938716638,307
2015,rf_actualizado_contexto,new_context,25,0.22222171468797722,24.0,17.0,29.0,86593.0,41.0,86663.0,0.5853658536585366,0.4528301886792453,0.5106382978723404,4.73096938716638,742
2015,rf_actualizado_contexto,new_context,50,0.205788967497016,25.0,54.0,28.0,86556.0,79.0,86663.0,0.31645569620253167,0.4716981132075472,0.3787878787878788,9.115770282588878,1454
2015,rf_actualizado_contexto,new_context,100,0.205788967497016,25.0,54.0,28.0,86556.0,79.0,86663.0,0.31645569620253167,0.4716981132075472,0.3787878787878788,9.115770282588878,2854
2015,rf_revisado_contexto,new_context,5,0.30291757319936435,19.0,0.0,34.0,86610.0,19.0,86663.0,1.0,0.3584905660377358,0.5277777777777778,2.192400447711249,170
2015,rf_revisado_contexto,new_context,10,0.30291757319936435,19.0,0.0,34.0,86610.0,19.0,86663.0,1.0,0.3584905660377358,0.5277777777777778,2.192400447711249,340
2015,rf_revisado_contexto,new_context,25,0.24297583520944419,21.0,34.0,32.0,86576.0,55.0,86663.0,0.38181818181818183,0.39622641509433965,0.3888888888888889,6.346422348637827,834
2015,rf_revisado_contexto,new_context,50,0.24297583520944419,21.0,34.0,32.0,86576.0,55.0,86663.0,0.38181818181818183,0.39622641509433965,0.3888888888888889,6.346422348637827,1634
2015,rf_revisado_contexto,new_context,100,0.03417797885486898,37.0,1529.0,16.0,85081.0,1566.0,86663.0,0.02362707535121328,0.6981132075471698,0.04570722668313774,180.69995269030613,3129
2016,r1_pesos_clase,previous,5,0.6860147969674639,53.0,113.0,80.0,44173.0,166.0,44419.0,0.3192771084337349,0.39849624060150374,0.35451505016722407,37.371395123708325,513
2016,r1_pesos_clase,previous,10,0.5721647531391839,81.0,326.0,52.0,43960.0,407.0,44419.0,0.19901719901719903,0.6090225563909775,0.3,91.62745671897162,846
2016,r1_pesos_clase,previous,25,0.5237488313730959,95.0,544.0,38.0,43742.0,639.0,44419.0,0.1486697965571205,0.7142857142857143,0.24611398963730569,143.8573583376483,1494
2016,r1_pesos_clase,previous,50,0.4951074610887753,102.0,801.0,31.0,43485.0,903.0,44419.0,0.11295681063122924,0.7669172932330827,0.1969111969111969,203.2913843175218,2351
2016,r1_pesos_clase,previous,100,0.4537351976851113,108.0,1357.0,25.0,42929.0,1465.0,44419.0,0.07372013651877134,0.8120300751879699,0.13516896120150187,329.8138184110403,3857
2016,r1_sin_balanceo,previous,5,0.29884679655198515,42.0,0.0,91.0,44286.0,42.0,44419.0,1.0,0.3157894736842105,0.48,9.455413224070782,455
2016,r1_sin_balanceo,previous,10,0.2894350813463686,43.0,6.0,90.0,44280.0,49.0,44419.0,0.8775510204081632,0.3233082706766917,0.4725274725274725,11.031315428082578,906
2016,r1_sin_balanceo,previous,25,0.26697187989342924,47.0,82.0,86.0,44204.0,129.0,44419.0,0.3643410852713178,0.3533834586466165,0.35877862595419846,29.041626331074543,2232
2016,r1_sin_balanceo,previous,50,0.26697187989342924,47.0,82.0,86.0,44204.0,129.0,44419.0,0.3643410852713178,0.3533834586466165,0.35877862595419846,29.041626331074543,4382
2016,r1_sin_balanceo,previous,100,0.26697187989342924,47.0,82.0,86.0,44204.0,129.0,44419.0,0.3643410852713178,0.3533834586466165,0.35877862595419846,29.041626331074543,8682
2016,r1_smotenc,previous,5,0.5271774704782441,60.0,148.0,73.0,44138.0,208.0,44419.0,0.28846153846153844,0.45112781954887216,0.3519061583577713,46.82680834777911,513
2016,r1_smotenc,previous,10,0.5271774704782441,60.0,148.0,73.0,44138.0,208.0,44419.0,0.28846153846153844,0.45112781954887216,0.3519061583577713,46.82680834777911,878
2016,r1_smotenc,previous,25,0.37506425445882124,88.0,511.0,45.0,43775.0,599.0,44419.0,0.14691151919866444,0.6616541353383458,0.24043715846994534,134.85220288615233,1636
2016,r1_smotenc,previous,50,0.34785094309218706,93.0,650.0,40.0,43636.0,743.0,44419.0,0.12516823687752354,0.6992481203007519,0.21232876712328766,167.27076251153787,2650
2016,r1_smotenc,previous,100,0.3295481946937383,95.0,836.0,38.0,43450.0,931.0,44419.0,0.10204081632653061,0.7142857142857143,0.17857142857142858,209.59499313356895,4636
2016,r1_submuestreo,previous,5,0.5672976146647215,64.0,142.0,69.0,44144.0,206.0,44419.0,0.3106796116504854,0.48120300751879697,0.3775811209439528,46.376550575204305,487
2016,r1_submuestreo,previous,10,0.5287551340825523,74.0,226.0,59.0,44060.0,300.0,44419.0,0.24666666666666667,0.556390977443609,0.3418013856812933,67.53866588621986,816
2016,r1_submuestreo,previous,25,0.5000716310567028,79.0,330.0,54.0,43956.0,409.0,44419.0,0.19315403422982885,0.5939849624060151,0.2915129151291513,92.0777144915464,1680
2016,r1_submuestreo,previous,50,0.4065517191864897,97.0,929.0,36.0,43357.0,1026.0,44419.0,0.09454191033138401,0.7293233082706767,0.16738567730802417,230.98223733087192,2729
2016,r1_submuestreo,previous,100,0.39968613205337383,98.0,1003.0,35.0,43283.0,1101.0,44419.0,0.08900999091734786,0.7368421052631579,0.15883306320907617,247.8669038024269,4503
2016,rf_actualizado,previous,5,0.07789948598144587,73.0,15.0,60.0,44271.0,88.0,44419.0,0.8295454545454546,0.5488721804511278,0.6606334841628959,19.81134199329116,315
2016,rf_actualizado,previous,10,0.05540740655643118,78.0,40.0,55.0,44246.0,118.0,44419.0,0.6610169491525424,0.5864661654135338,0.6215139442231076,26.565208581913144,590
2016,rf_actualizado,previous,25,0.03005134307834322,84.0,136.0,49.0,44150.0,220.0,44419.0,0.38181818181818183,0.631578947368421,0.47592067988668557,49.5283549832279,1361
2016,rf_actualizado,previous,50,0.01766872843756953,90.0,397.0,43.0,43889.0,487.0,44419.0,0.18480492813141683,0.6766917293233082,0.2903225806451613,109.63776762196358,2547
2016,rf_actualizado,previous,100,0.012900155925023471,97.0,925.0,36.0,43361.0,1022.0,44419.0,0.0949119373776908,0.7293233082706767,0.16796536796536796,230.08172178572235,4525
2016,rf_peso10_reciente,previous,5,0.08300476662990341,76.0,87.0,57.0,44199.0,163.0,44419.0,0.4662576687116564,0.5714285714285714,0.5135135135135135,36.69600846484612,372
2016,rf_peso10_reciente,previous,10,0.07822443411893754,78.0,100.0,55.0,44186.0,178.0,44419.0,0.43820224719101125,0.5864661654135338,0.5016077170418006,40.07294175915712,650
2016,rf_peso10_reciente,previous,25,0.039449727728221556,101.0,529.0,32.0,43757.0,630.0,44419.0,0.16031746031746033,0.7593984962406015,0.26474442988204455,141.83119836106172,1329
2016,rf_peso10_reciente,previous,50,0.039449727728221556,101.0,529.0,32.0,43757.0,630.0,44419.0,0.16031746031746033,0.7593984962406015,0.26474442988204455,141.83119836106172,2129
2016,rf_peso10_reciente,previous,100,0.03501309281918662,103.0,684.0,30.0,43602.0,787.0,44419.0,0.13087674714104194,0.7744360902255639,0.22391304347826088,177.17643350818344,3684
2016,rf_profundo,previous,5,0.2,79.0,5.0,54.0,44281.0,84.0,44419.0,0.9404761904761905,0.5939849624060151,0.728110599078341,18.910826448141563,275
2016,rf_profundo,previous,10,0.085,87.0,46.0,46.0,44240.0,133.0,44419.0,0.6541353383458647,0.6541353383458647,0.6541353383458647,29.942141876224138,506
2016,rf_profundo,previous,25,0.04,98.0,256.0,35.0,44030.0,354.0,44419.0,0.2768361581920904,0.7368421052631579,0.4024640657084189,79.69562574573943,1131
2016,rf_profundo,previous,50,0.04,98.0,256.0,35.0,44030.0,354.0,44419.0,0.2768361581920904,0.7368421052631579,0.4024640657084189,79.69562574573943,2006
