evaluation_year,candidate,round,capacity_validation_per_10000,threshold,validation_tp,validation_fp,validation_recall,validation_alerts_per_10000,tp,fp,fn,tn,rows,precision,recall,f1,alerts,alerts_per_10000,fp_per_10000
2015,r1_pesos_clase,previous,10,0.7397769367966599,10.0,72.0,0.18867924528301888,9.46193877433276,43,66,147,87814,88070,0.3944954128440367,0.22631578947368422,0.28762541806020064,109,12.37651867832406,7.4940388327466785
2015,r1_pesos_clase,previous,25,0.6790446621621683,16.0,174.0,0.3018867924528302,21.924004477112494,65,163,125,87717,88070,0.2850877192982456,0.34210526315789475,0.31100478468899523,228,25.888497785852163,18.50800499602589
2015,r1_pesos_clase,previous,50,0.6051404501238555,27.0,392.0,0.5094339622641509,48.34819934689544,95,361,95,87519,88070,0.20833333333333334,0.5,0.29411764705882354,456,51.776995571704326,40.99012149426593
2015,r1_pesos_clase,previous,100,0.5351397678495335,37.0,746.0,0.6981132075471698,90.34997634515307,124,711,66,87169,88070,0.14850299401197606,0.6526315789473685,0.24195121951219511,835,94.81094583853752,80.7312365164074
2015,r1_pesos_clase,previous,250,0.4181583124593206,44.0,1935.0,0.8301886792452831,228.3558150537138,149,2951,41,84929,88070,0.04806451612903226,0.7842105263157895,0.09057750759878419,3100,351.9927330532531,335.07437265811285
2015,r1_sin_balanceo,previous,10,0.05199335280409059,33.0,46.0,0.6226415094339622,9.115770282588878,104,20494,86,67386,88070,0.005049033886785125,0.5473684210526316,0.010005772561092939,20598,2338.821392074486,2327.012603610764
2015,r1_sin_balanceo,previous,25,0.03486747089269901,35.0,94.0,0.660377358490566,14.885245144986904,118,22432,72,65448,88070,0.005232815964523282,0.6210526315789474,0.010378188214599824,22550,2560.463267855115,2547.0648347905076
2015,r1_sin_balanceo,previous,50,0.016519726771066157,40.0,371.0,0.7547169811320755,47.42508336891176,126,24658,64,63222,88070,0.005083925112976113,0.6631578947368421,0.010090494113878433,24784,2814.1251277392985,2799.818326331327
2015,r1_sin_balanceo,previous,100,0.014666496250101906,41.0,484.0,0.7735849056603774,60.57948605517925,128,24909,62,62971,88070,0.005112433598274554,0.6736842105263158,0.010147857454314822,25037,2842.8522765981606,2828.318383104349
2015,r1_sin_balanceo,previous,250,0.008892138596922438,46.0,1793.0,0.8679245283018868,212.20128543899932,153,26936,37,60944,88070,0.005648049023588911,0.8052631578947368,0.011217419993401518,27089,3075.84875667083,3058.476212104008
2015,r1_smotenc,previous,10,0.6588691626989197,8.0,57.0,0.1509433962264151,7.500317321117431,29,51,161,87829,88070,0.3625,0.15263157894736842,0.21481481481481482,80,9.083683433632338,5.790848188940616
2015,r1_smotenc,previous,25,0.5768130043177482,18.0,150.0,0.33962264150943394,19.38543553765736,56,153,134,87727,88070,0.2679425837320574,0.29473684210526313,0.2807017543859649,209,23.73112297036448,17.372544566821848
2015,r1_smotenc,previous,50,0.4891252344088401,28.0,371.0,0.5283018867924528,46.04040940193624,87,364,103,87516,88070,0.19290465631929046,0.45789473684210524,0.2714508580343214,451,51.2092653571023,41.330759623027134
2015,r1_smotenc,previous,100,0.40176406530730474,34.0,800.0,0.6415094339622641,96.23484070479904,120,812,70,87068,88070,0.12875536480686695,0.631578947368421,0.21390374331550802,932,105.82491200181674,92.19938685136823
2015,r1_smotenc,previous,250,0.290178178114924,42.0,1945.0,0.7924528301886793,229.27893103169748,148,5093,42,82787,88070,0.02823888570883419,0.7789473684210526,0.054501933345608544,5241,595.0948109458385,578.2899965936188
2015,r1_submuestreo,previous,10,0.7025445412388028,9.0,66.0,0.16981132075471697,8.654212293597036,35,44,155,87836,88070,0.4430379746835443,0.18421052631578946,0.26022304832713755,79,8.970137390711933,4.996025888497786
2015,r1_submuestreo,previous,25,0.6520989047438102,17.0,184.0,0.32075471698113206,23.19328894684006,60,140,130,87740,88070,0.3,0.3157894736842105,0.3076923076923077,200,22.709208584080844,15.896446008856591
2015,r1_submuestreo,previous,50,0.6227897826602833,21.0,281.0,0.39622641509433965,34.84762816888407,73,247,117,87633,88070,0.228125,0.38421052631578945,0.28627450980392155,320,36.33473373452935,28.045872601339845
2015,r1_submuestreo,previous,100,0.5341086893376165,25.0,817.0,0.4716981132075472,97.15795668278274,113,793,77,87087,88070,0.12472406181015452,0.5947368421052631,0.2062043795620438,906,102.87271488588623,90.04201203588055
2015,r1_submuestreo,previous,250,0.4146168888666618,38.0,2104.0,0.7169811320754716,247.16430310513138,135,2892,55,84988,88070,0.044598612487611496,0.7105263157894737,0.083929126515387,3027,343.7038719200636,328.37515612580904
2015,rf_actualizado,previous,10,0.05199335280409059,33.0,46.0,0.6226415094339622,9.115770282588878,104,20494,86,67386,88070,0.005049033886785125,0.5473684210526316,0.010005772561092939,20598,2338.821392074486,2327.012603610764
